Epoch 60, Train Loss: 1.385175, Train Acc: 0.954545, Train Avg Acc: 0.758699, Test Loss: 1.517321, Test Acc: 0.855556, Test Avg Acc: 0.736119
Epoch 61, Train Loss: 1.376197, Train Acc: 0.960227, Train Avg Acc: 0.792162, Test Loss: 1.466041, Test Acc: 0.888889, Test Avg Acc: 0.677718
Epoch 62, Train Loss: 1.351359, Train Acc: 0.965909, Train Avg Acc: 0.740901, Test Loss: 1.510964, Test Acc: 0.844444, Test Avg Acc: 0.648084
Epoch 63, Train Loss: 1.381294, Train Acc: 0.937500, Train Avg Acc: 0.745770, Test Loss: 1.436944, Test Acc: 0.911111, Test Avg Acc: 0.697571
Epoch 64, Train Loss: 1.381874, Train Acc: 0.957386, Train Avg Acc: 0.737455, Test Loss: 1.572664, Test Acc: 0.855556, Test Avg Acc: 0.781662
Epoch 65, Train Loss: 1.437719, Train Acc: 0.926136, Train Avg Acc: 0.760491, Test Loss: 1.583550, Test Acc: 0.833333, Test Avg Acc: 0.701716
Epoch 66, Train Loss: 1.422150, Train Acc: 0.928977, Train Avg Acc: 0.734663, Test Loss: 1.509834, Test Acc: 0.877778, Test Avg Acc: 0.675290
Epoch 67, Train Loss: 1.396531, Train Acc: 0.926136, Train Avg Acc: 0.762942, Test Loss: 1.470325, Test Acc: 0.911111, Test Avg Acc: 0.758333
Epoch 68, Train Loss: 1.382295, Train Acc: 0.946023, Train Avg Acc: 0.801633, Test Loss: 1.520314, Test Acc: 0.833333, Test Avg Acc: 0.716711
Epoch 69, Train Loss: 1.347645, Train Acc: 0.965909, Train Avg Acc: 0.799024, Test Loss: 1.411503, Test Acc: 0.911111, Test Avg Acc: 0.692647
Epoch 70, Train Loss: 1.357154, Train Acc: 0.954545, Train Avg Acc: 0.732778, Test Loss: 1.414446, Test Acc: 0.922222, Test Avg Acc: 0.781127
Epoch 71, Train Loss: 1.380251, Train Acc: 0.951705, Train Avg Acc: 0.758136, Test Loss: 1.537997, Test Acc: 0.855556, Test Avg Acc: 0.640441
Epoch 72, Train Loss: 1.385533, Train Acc: 0.954545, Train Avg Acc: 0.791165, Test Loss: 1.481405, Test Acc: 0.866667, Test Avg Acc: 0.728253
Epoch 73, Train Loss: 1.352494, Train Acc: 0.960227, Train Avg Acc: 0.765087, Test Loss: 1.517052, Test Acc: 0.844444, Test Avg Acc: 0.638235
Epoch 74, Train Loss: 1.353400, Train Acc: 0.971591, Train Avg Acc: 0.850242, Test Loss: 1.541714, Test Acc: 0.855556, Test Avg Acc: 0.700980
